year_month,fuel,fuel_cost_won_per_gcal
2022-07,nuclear,2560.834
2022-07,coal,50898.659
2022-07,anthracite,38383.5
2022-07,oil,166598.638
2022-07,lng,89278.974
2022-06,nuclear,2561.215
2022-06,coal,45803.891
2022-06,anthracite,30131.0
2022-06,oil,163332.54
2022-06,lng,79989.596
2022-05,nuclear,2564.424
2022-05,coal,45535.298
2022-05,anthracite,75340.5
2022-05,oil,143913.471
2022-05,lng,83337.853
2022-04,nuclear,2563.271
2022-04,coal,44267.46
2022-04,anthracite,32548.5
2022-04,oil,134566.379
2022-04,lng,114224.002
2022-03,nuclear,2564.815
2022-03,coal,40727.268
2022-03,anthracite,31204.5
2022-03,oil,131384.652
2022-03,lng,104505.855
2022-02,nuclear,2564.583
2022-02,coal,39107.08
2022-02,anthracite,34434.5
2022-02,oil,127758.576
2022-02,lng,115453.935
2022-01,nuclear,2564.746
2022-01,coal,35748.054
2022-01,anthracite,33991.0
2022-01,oil,95673.584
2022-01,lng,89717.422
2021-12,nuclear,2563.755
2021-12,coal,32852.808
2021-12,anthracite,22345.0
2021-12,oil,92563.839
2021-12,lng,82799.586
2021-11,nuclear,2552.267
2021-11,coal,29879.005
2021-11,anthracite,27861.0
2021-11,oil,90337.701
2021-11,lng,76855.943
2021-10,nuclear,2546.116
2021-10,coal,28426.441
2021-10,anthracite,31385.0
2021-10,oil,86856.359
2021-10,lng,61682.492
2021-09,nuclear,2548.925
2021-09,coal,27179.347
2021-09,anthracite,31649.0
2021-09,oil,84201.248
2021-09,lng,58944.85
2021-08,nuclear,2475.469
2021-08,coal,25897.41
2021-08,anthracite,30124.0
2021-08,oil,79353.97
2021-08,lng,55166.24
2021-07,nuclear,2478.854
2021-07,coal,25712.815
2021-07,anthracite,25435.0
2021-07,oil,76384.503
2021-07,lng,50202.23
2021-06,nuclear,2480.806
2021-06,coal,24290.408
2021-06,anthracite,23534.0
2021-06,oil,76298.896
2021-06,lng,47954.141
2021-05,nuclear,2484.155
2021-05,coal,23676.138
2021-05,anthracite,20609.0
2021-05,oil,76320.985
2021-05,lng,45636.385
2021-04,nuclear,2480.303
2021-04,coal,21844.327
2021-04,anthracite,23421.0
2021-04,oil,72836.851
2021-04,lng,43487.167
2021-03,nuclear,2474.406
2021-03,coal,21406.227
2021-03,anthracite,24738.0
2021-03,oil,67331.392
2021-03,lng,47315.7
2021-02,nuclear,2462.355
2021-02,coal,20153.341
2021-02,anthracite,26084.0
2021-02,oil,63908.02
2021-02,lng,43412.723
2021-01,nuclear,2461.329
2021-01,coal,19740.156
2021-01,anthracite,26147.0
2021-01,oil,59316.231
2021-01,lng,40435.784
2020-12,nuclear,2456.757
2020-12,coal,19803.421
2020-12,anthracite,7556.0
2020-12,oil,60676.309
2020-12,lng,38049.643
2020-11,nuclear,2455.796
2020-11,coal,20804.776
2020-11,anthracite,8984.0
2020-11,oil,73867.381
2020-11,lng,29389.767
2020-10,nuclear,2440.768
2020-10,coal,21283.442
2020-10,anthracite,27606.0
2020-10,oil,79315.351
2020-10,lng,29089.645
2020-09,nuclear,2440.768
2020-09,coal,21735.004
2020-09,anthracite,29449.0
2020-09,oil,77706.496
2020-09,lng,31997.848
2020-08,nuclear,2439.535
2020-08,coal,22568.925
2020-08,anthracite,27251.0
2020-08,oil,76956.942
2020-08,lng,36856.396
2020-07,nuclear,2435.729
2020-07,coal,23567.294
2020-07,anthracite,25320.0
2020-07,oil,76531.502
2020-07,lng,45220.395
2020-06,nuclear,2432.966
2020-06,coal,23664.184
2020-06,anthracite,27394.0
2020-06,oil,77126.424
2020-06,lng,46309.581
2020-05,nuclear,2432.966
2020-05,coal,23779.743
2020-05,anthracite,24778.0
2020-05,oil,79488.499
2020-05,lng,49126.836
2020-04,nuclear,2431.66
2020-04,coal,23039.718
2020-04,anthracite,25625.0
2020-04,oil,80213.204
2020-04,lng,46708.18
2020-03,nuclear,2428.082
2020-03,coal,23004.262
2020-03,anthracite,27397.0
2020-03,oil,79123.226
2020-03,lng,48602.907
2020-02,nuclear,2417.775
2020-02,coal,23089.705
2020-02,anthracite,27818.0
2020-02,oil,80484.079
2020-02,lng,47479.793
2020-01,nuclear,2404.684
2020-01,coal,22891.782
2020-01,anthracite,27361.0
2020-01,oil,79859.436
2020-01,lng,48859.629
