scenario,beta,rho_pv,rho_w,bid_mode,mean_smp_post,mean_delta_smp,max_decrease,max_increase,hours_down,hours_up,total_re_bid_MWh,total_cost,curtailment_MWh,curtailment_hours,max_curtailment_MW,smp_curt_corr
rho_0.1_mixed,2.0,0.1,0.1,mixed,55218.89473082193,0.0,0.0,0.0,0,0,7053.5681095,3.435408858714284e10,0.0,0,0.0,0.0
rho_0.2_mixed,2.0,0.2,0.2,mixed,55218.89473082193,0.0,0.0,0.0,0,0,14107.136219,3.3732669236695873e10,0.0,0,0.0,0.0
rho_0.3_mixed,2.0,0.3,0.3,mixed,55218.89473082193,0.0,0.0,0.0,0,0,21160.704328500007,3.3111249886248913e10,0.0,0,0.0,0.0
rho_0.5_mixed,2.0,0.5,0.5,mixed,55218.89473082193,0.0,0.0,0.0,0,0,35267.8405475,3.186841118535499e10,0.0,0,0.0,0.0
