epoch,train_mae
1,69963.11813244791
2,69798.25595876537
3,69642.78907569016
4,69494.96410031016
5,69355.62951898659
6,69224.21895162633
7,69099.12919167269
8,68980.41565294408
9,68869.95756768284
10,68775.54927027426
