기간,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최대,최소,가중평균
2024/12/04,112.45,80.66,80.52,80.52,80.52,82.56,115.9,116.1,143.4,144.2,143.4,142.44,144.53,137.27,138.26,143.07,143.4,143.04,142.66,142.32,142.95,121.84,116.06,107.27,144.53,80.52,124.86
2024/12/03,112.75,81.13,80.38,80.03,80.22,81.13,89.86,117.15,152.53,143.03,156.04,139.6,118.13,123.75,123.75,143,123.96,123.96,118.15,118.15,116.26,112.28,102.68,98.77,156.04,80.03,115.59
2024/12/02,97.41,80.17,80.17,80.17,80.17,80.7,84.16,101.85,143.01,166.29,155.33,144.04,137.97,143.06,158.57,158.18,156.04,142.98,137.98,142.98,120.02,112.36,101.29,101.83,166.29,80.17,124.32
2024/12/01,97.81,91.76,84.46,84.46,84.46,88.94,107.71,97.81,107.71,104,104.06,104.2,103.78,92.89,93.02,104.15,104.51,107.71,107.71,107.71,107.71,104.2,101.34,107.71,107.71,84.46,100.27
2024/11/30,106.78,96.65,87.96,87.46,87.45,96.65,103.28,109.78,109.78,111.63,112,108.43,107.87,107.38,104.62,107.32,107.87,107.87,107.87,107.88,107.54,106.78,104.84,103.97,112,87.45,104.27
2024/11/29,107.7,101.87,87.57,87.18,87.61,101.98,106.29,111.33,137.97,152.33,151.87,154.15,138.78,155.82,153.84,138.78,138.72,137.92,137.92,137.92,114.22,106.56,107.2,104.46,155.82,87.18,125.17
2024/11/28,111.21,102.96,91.06,87.57,101.43,102.75,105.8,117.04,137.98,137.97,156.16,144.56,137.98,137.98,137.97,137.92,137.1,136.92,135.58,137.81,130.65,127.98,117.24,117.24,156.16,87.57,126.14
2024/11/27,107.59,102,87.49,87.08,87.48,102,105.8,127.27,137.94,137.92,137.98,136.37,136.19,136.37,136.37,136.37,136.37,136.37,136.1,131.36,116.98,114.75,106.62,106.62,137.98,87.08,121.68
2024/11/26,114.88,91.94,87.57,87.47,91.94,102.32,104.01,106.76,140.74,154.83,158.56,137.88,131.51,131.42,135.27,137.94,137.97,135.27,135.26,131.14,117.78,114.22,104.85,113.03,158.56,87.47,122.76
2024/11/25,91.51,79.45,79.45,79.45,79.45,79.45,90.49,107.53,117.26,117.26,137.61,135.26,116.8,116.8,116.8,116.8,137.95,116.8,117.26,112.14,106.76,106.69,106.5,114.94,137.95,79.45,109.32
2024/11/24,106.64,87.95,85.2,85.2,85.2,87.95,101.19,106.64,107.03,91.88,112.08,105.82,0,78.4,78.4,87.55,91.52,108.84,108.85,108.85,108.85,108.49,101.37,101.2,112.08,0,94.66
2024/11/23,103.68,101.97,87.86,87.79,87.87,93.03,117.14,117.14,117.24,113.57,91.3,110.2,0,78.38,90.67,88.5,112.24,116.69,116.82,112.24,112.24,101.33,101.33,101.33,117.24,0,99.35
2024/11/22,112.14,87.79,87.13,87.05,87.24,87.79,107.05,117.78,130.73,117.62,117.52,117.47,115.31,116.87,117.26,117.26,117.37,117.47,117.43,113.31,107.05,106.47,112.14,116.73,130.73,87.05,110.38
2024/11/21,106.74,87.43,87.16,87.27,87.06,87.6,107.37,107.29,137.88,150.52,137.89,117.01,117.01,116.96,137.63,127.32,137.63,137.87,127.44,117.26,107.87,107.87,107.87,107.87,150.52,87.06,115.92
2024/11/20,106.74,83.22,82.85,82.96,82.99,106.21,117.98,117.98,141.65,159.13,141.65,131.98,131.79,131.55,137.63,131.51,137.64,135.7,135.7,108.72,106.69,104.48,103.5,103.5,159.13,82.85,118.99
2024/11/19,114.94,90.49,90.49,79.76,79.76,110.99,110.99,118.08,137.61,137.88,147.19,131.65,131.65,131.65,131.65,131.65,131.66,137.62,127.68,117.67,110.99,104.46,104.46,110.99,147.19,79.76,118.77
2024/11/18,93.45,78.12,78.12,78.12,78.12,78.12,104.24,115.82,117.78,117.78,107.12,106.86,103.8,114.94,117.47,117.47,117.47,117.47,117.78,117.78,107.4,107.01,107.01,105.25,117.78,78.12,105.96
2024/11/17,105.01,87.01,82.89,81.53,82.89,87.81,105.06,93.24,88.1,88.02,88.61,88.69,114.27,88.3,88.23,114.27,114.27,116.06,114.27,114.27,114.21,105.03,105.01,105.01,116.06,81.53,99.52
2024/11/16,90.81,87.47,82.08,80.6,80.6,84.63,94.01,94.86,94.05,94.38,94.62,93.99,90.81,90.92,78.38,80.6,88.62,89.48,90.81,90.81,90.85,89.48,89.48,89.48,94.86,78.38,88.88
2024/11/15,91.51,87.07,87.1,87.15,87.18,87.76,112.48,114.22,116.84,116.58,116.58,116.51,108.92,116.38,147.26,131.48,116.38,116.51,116.78,116.78,107.42,106.79,104.58,113,147.26,87.07,110.43
2024/11/14,103.76,87.57,83.4,85.3,87.57,102.76,116.73,116.73,147.26,147.26,147.26,132.31,132.31,132.31,147.26,147.26,147.26,139.97,132.32,116.98,116.98,116.98,106.52,105.55,147.26,83.4,122.38
